county,precinct,office,candidate,votes,district
Clark,139,U.S. House,John Oceguera,362,3
Clark,139,State House,Randy Spoor,388,22
Clark,139,President,Barack Obama,422,
Clark,141,President,Virgil Goode,4,
Clark,141,President,None Of These Candidates,9,
Clark,141,U.S. House,Tom Jones,15,3
Clark,141,President,Gary Johnson,19,
Clark,141,U.S. Senate,None Of These Candidates,50,
Clark,141,U.S. Senate,David Vanderbeek,52,
Clark,141,U.S. House,Jim Murphy,56,3
Clark,141,U.S. House,John Oceguera,451,3
Clark,141,U.S. Senate,Shelley Berkley,451,
Clark,141,State House,Randy Spoor,462,22
Clark,141,President,Barack Obama,541,
Clark,141,President,Mitt Romney,621,
Clark,141,U.S. House,Joe Heck,621,3
Clark,141,U.S. Senate,Dean Heller,623,
Clark,141,State House,Lynn Stewart,628,22
Clark,141,President,Virgil Goode,1,
Clark,141,U.S. House,Tom Jones,5,3
Clark,141,President,None Of These Candidates,6,
Clark,141,President,Gary Johnson,8,
Clark,141,U.S. Senate,None Of These Candidates,32,
Clark,141,U.S. House,Jim Murphy,36,3
Clark,141,U.S. Senate,David Vanderbeek,42,
Clark,141,U.S. Senate,Shelley Berkley,378,
Clark,141,U.S. House,John Oceguera,383,3
Clark,141,State House,Randy Spoor,395,22
Clark,141,President,Barack Obama,441,
Clark,141,State House,Lynn Stewart,561,22
Clark,141,U.S. Senate,Dean Heller,564,
Clark,141,U.S. House,Joe Heck,568,3
Clark,141,President,Mitt Romney,572,
Clark,150,President,Virgil Goode,1,
Clark,150,President,Gary Johnson,3,
Clark,150,President,None Of These Candidates,3,
Clark,150,U.S. House,Tom Jones,8,3
Clark,150,U.S. Senate,None Of These Candidates,25,
Clark,150,U.S. Senate,David Vanderbeek,34,
Clark,150,U.S. House,Jim Murphy,36,3
Clark,150,U.S. House,John Oceguera,322,3
Clark,150,State House,Michael Joe,343,23
Clark,150,U.S. Senate,Shelley Berkley,351,
Clark,150,President,Barack Obama,390,
Clark,150,U.S. Senate,Dean Heller,548,
Clark,150,State House,Melissa Woodbury,570,23
Clark,150,President,Mitt Romney,576,
Clark,150,U.S. House,Joe Heck,579,3
Clark,151,President,Virgil Goode,0,
Clark,151,President,None Of These Candidates,2,
Clark,151,U.S. House,Tom Jones,2,3
Clark,151,President,Gary Johnson,4,
Clark,151,U.S. House,Jim Murphy,10,3
Clark,151,U.S. Senate,David Vanderbeek,14,
Clark,151,U.S. Senate,None Of These Candidates,17,
Clark,151,State House,Michael Joe,197,23
Clark,151,U.S. House,John Oceguera,208,3
Clark,151,U.S. Senate,Shelley Berkley,222,
Clark,151,President,Barack Obama,226,
Clark,151,U.S. Senate,Dean Heller,565,
Clark,151,State House,Melissa Woodbury,578,23
Clark,151,U.S. House,Joe Heck,587,3
Clark,151,President,Mitt Romney,596,
Clark,151,President,Virgil Goode,0,
Clark,151,President,Gary Johnson,4,
Clark,151,President,None Of These Candidates,4,
Clark,151,U.S. House,Tom Jones,9,3
Clark,151,U.S. Senate,David Vanderbeek,21,
Clark,151,U.S. Senate,None Of These Candidates,27,
Clark,151,U.S. House,Jim Murphy,29,3
Clark,151,U.S. House,John Oceguera,301,3
Clark,151,State House,Randy Spoor,302,22
Clark,151,U.S. Senate,Shelley Berkley,322,
Clark,151,President,Barack Obama,369,
Clark,151,President,Mitt Romney,492,
Clark,151,U.S. Senate,Dean Heller,493,
Clark,151,U.S. House,Joe Heck,506,3
Clark,151,State House,Lynn Stewart,507,22
Clark,151,President,None Of These Candidates,3,
Clark,151,President,Virgil Goode,6,
Clark,151,President,Gary Johnson,7,
Clark,151,U.S. House,Tom Jones,18,3
Clark,151,U.S. Senate,David Vanderbeek,29,
Clark,151,U.S. Senate,None Of These Candidates,34,
Clark,151,U.S. House,Jim Murphy,40,3
Clark,151,U.S. House,John Oceguera,373,3
Clark,151,State House,Randy Spoor,384,22
Clark,151,U.S. Senate,Shelley Berkley,416,
Clark,151,President,Barack Obama,437,
Clark,151,U.S. Senate,Dean Heller,752,
Clark,151,State House,Lynn Stewart,769,22
Clark,151,U.S. House,Joe Heck,776,3
Clark,151,President,Mitt Romney,794,
Clark,151,President,None Of These Candidates,3,
Clark,151,President,Virgil Goode,4,
Clark,151,President,Gary Johnson,12,
Clark,151,U.S. House,Tom Jones,20,3
Clark,151,U.S. Senate,None Of These Candidates,27,
Clark,151,U.S. Senate,David Vanderbeek,35,
Clark,151,U.S. House,Jim Murphy,36,3
Clark,151,U.S. Senate,Shelley Berkley,394,
Clark,151,U.S. House,John Oceguera,396,3
Clark,151,State House,Randy Spoor,410,22
Clark,151,President,Barack Obama,446,
Clark,151,U.S. House,Joe Heck,582,3
Clark,151,State House,Lynn Stewart,586,22
Clark,151,U.S. Senate,Dean Heller,590,
Clark,151,President,Mitt Romney,599,
Clark,151,President,Virgil Goode,0,
Clark,151,President,None Of These Candidates,3,
Clark,151,President,Gary Johnson,4,
Clark,151,U.S. House,Tom Jones,8,3
Clark,151,U.S. Senate,David Vanderbeek,15,
Clark,151,U.S. Senate,None Of These Candidates,23,
Clark,151,U.S. House,Jim Murphy,28,3
Clark,151,U.S. House,John Oceguera,252,3
Clark,151,State House,Randy Spoor,261,22
Clark,151,U.S. Senate,Shelley Berkley,289,
Clark,151,President,Barack Obama,305,
Clark,151,U.S. Senate,Dean Heller,386,
Clark,151,State House,Lynn Stewart,390,22
Clark,151,U.S. House,Joe Heck,403,3
Clark,151,President,Mitt Romney,410,
Clark,151,President,Virgil Goode,0,
Clark,151,President,None Of These Candidates,5,
Clark,151,President,Gary Johnson,6,
Clark,151,U.S. House,Tom Jones,13,3
Clark,151,U.S. Senate,None Of These Candidates,26,
Clark,151,U.S. House,Jim Murphy,32,3
Clark,151,U.S. Senate,David Vanderbeek,33,
Clark,151,State House,Michael Joe,354,23
Clark,151,U.S. House,John Oceguera,355,3
Clark,151,U.S. Senate,Shelley Berkley,399,
Clark,151,President,Barack Obama,423,
Clark,151,U.S. Senate,Dean Heller,831,
Clark,151,President,Mitt Romney,862,
Clark,151,U.S. House,Joe Heck,862,3
Clark,151,State House,Melissa Woodbury,869,23
Clark,151,President,Virgil Goode,0,
Clark,151,U.S. House,Tom Jones,0,3
Clark,151,President,Gary Johnson,2,
Clark,151,President,None Of These Candidates,2,
Clark,151,U.S. House,Jim Murphy,4,3
Clark,151,U.S. Senate,None Of These Candidates,5,
Clark,151,U.S. Senate,David Vanderbeek,6,
Clark,151,State House,Michael Joe,95,23
Clark,151,U.S. House,John Oceguera,102,3
Clark,151,U.S. Senate,Shelley Berkley,105,
Clark,151,President,Barack Obama,115,
Clark,151,U.S. Senate,Dean Heller,321,
Clark,151,State House,Melissa Woodbury,323,23
Clark,151,President,Mitt Romney,324,
Clark,151,U.S. House,Joe Heck,327,3
Clark,152,President,Virgil Goode,0,
Clark,152,President,None Of These Candidates,3,
Clark,152,President,Gary Johnson,4,
Clark,152,U.S. House,Tom Jones,5,3
Clark,152,U.S. Senate,None Of These Candidates,18,
Clark,152,U.S. Senate,David Vanderbeek,18,
Clark,152,U.S. House,Jim Murphy,22,3
Clark,152,U.S. House,John Oceguera,239,3
Clark,152,U.S. Senate,Shelley Berkley,260,
Clark,152,State House,Randy Spoor,261,22
Clark,152,President,Barack Obama,289,
Clark,152,U.S. Senate,Dean Heller,343,
Clark,152,State House,Lynn Stewart,345,22
Clark,152,President,Mitt Romney,351,
Clark,152,U.S. House,Joe Heck,365,3
Clark,152,President,Virgil Goode,0,
Clark,152,President,Gary Johnson,1,
Clark,152,President,None Of These Candidates,2,
Clark,152,U.S. House,Tom Jones,5,3
Clark,152,U.S. Senate,None Of These Candidates,19,
Clark,152,U.S. House,Jim Murphy,20,3
Clark,152,U.S. Senate,David Vanderbeek,20,
Clark,152,U.S. House,John Oceguera,239,3
Clark,152,State House,Michael Joe,248,23
Clark,152,U.S. Senate,Shelley Berkley,269,
Clark,152,President,Barack Obama,290,
Clark,152,U.S. Senate,Dean Heller,641,
Clark,152,State House,Melissa Woodbury,653,23
Clark,152,President,Mitt Romney,658,
Clark,152,U.S. House,Joe Heck,667,3
Clark,152,President,Virgil Goode,2,
Clark,152,President,Gary Johnson,5,
Clark,152,President,None Of These Candidates,6,
Clark,152,U.S. House,Tom Jones,11,3
Clark,152,U.S. Senate,None Of These Candidates,31,
Clark,152,U.S. Senate,David Vanderbeek,32,
Clark,152,U.S. House,Jim Murphy,36,3
Clark,152,U.S. House,John Oceguera,447,3
Clark,152,State House,Michael Joe,466,23
Clark,152,U.S. Senate,Shelley Berkley,480,
Clark,152,President,Barack Obama,525,
Clark,152,U.S. Senate,Dean Heller,840,
Clark,152,State House,Melissa Woodbury,857,23
Clark,152,President,Mitt Romney,864,
Clark,152,U.S. House,Joe Heck,870,3
Clark,152,President,Virgil Goode,0,
Clark,152,President,None Of These Candidates,5,
Clark,152,President,Gary Johnson,8,
Clark,152,U.S. House,Tom Jones,21,3
Clark,152,U.S. Senate,None Of These Candidates,35,
Clark,152,U.S. Senate,David Vanderbeek,45,
Clark,152,U.S. House,Jim Murphy,58,3
Clark,152,U.S. House,John Oceguera,485,3
Clark,152,State House,Michael Joe,518,23
Clark,152,U.S. Senate,Shelley Berkley,530,
Clark,152,President,Barack Obama,598,
Clark,152,U.S. Senate,Dean Heller,816,
Clark,152,State House,Melissa Woodbury,823,23
Clark,152,U.S. House,Joe Heck,824,3
Clark,152,President,Mitt Romney,831,
Clark,153,President,Virgil Goode,0,
Clark,153,President,Gary Johnson,0,
Clark,153,President,None Of These Candidates,0,
Clark,153,President,Barack Obama,0,
Clark,153,President,Mitt Romney,0,
Clark,153,State House,Michael Joe,0,23
Clark,153,State House,Melissa Woodbury,0,23
Clark,153,U.S. House,Joe Heck,0,3
Clark,153,U.S. House,Tom Jones,0,3
Clark,153,U.S. House,Jim Murphy,0,3
Clark,153,U.S. House,John Oceguera,0,3
Clark,153,U.S. Senate,Shelley Berkley,0,
Clark,153,U.S. Senate,Dean Heller,0,
Clark,153,U.S. Senate,None Of These Candidates,0,
Clark,153,U.S. Senate,David Vanderbeek,0,
Clark,155,President,Virgil Goode,0,
Clark,155,President,None Of These Candidates,0,
Clark,155,President,Gary Johnson,5,
Clark,155,U.S. House,Tom Jones,8,3
Clark,155,U.S. Senate,None Of These Candidates,18,
Clark,155,U.S. House,Jim Murphy,22,3
Clark,155,U.S. Senate,David Vanderbeek,23,
Clark,155,U.S. Senate,Shelley Berkley,273,
Clark,155,U.S. House,John Oceguera,275,3
Clark,155,State House,Randy Spoor,284,22
Clark,155,President,Barack Obama,301,
Clark,155,State House,Lynn Stewart,401,22
Clark,155,U.S. House,Joe Heck,401,3
Clark,155,U.S. Senate,Dean Heller,401,
Clark,155,President,Mitt Romney,413,
Clark,155,President,Virgil Goode,1,
Clark,155,President,None Of These Candidates,2,
Clark,155,President,Gary Johnson,4,
Clark,155,U.S. House,Tom Jones,5,3
Clark,155,U.S. Senate,David Vanderbeek,17,
Clark,155,U.S. Senate,None Of These Candidates,23,
Clark,155,U.S. House,Jim Murphy,24,3
Clark,155,U.S. Senate,Shelley Berkley,206,
Clark,155,U.S. House,John Oceguera,211,3
Clark,155,State House,Michael Joe,219,23
Clark,155,President,Barack Obama,239,
Clark,155,U.S. House,Joe Heck,274,3
Clark,155,U.S. Senate,Dean Heller,280,
Clark,155,State House,Melissa Woodbury,284,23
Clark,155,President,Mitt Romney,288,
Clark,155,President,Virgil Goode,0,
Clark,155,President,Gary Johnson,0,
Clark,155,President,None Of These Candidates,0,
Clark,155,President,Barack Obama,0,
Clark,155,President,Mitt Romney,0,
Clark,155,State House,Paul Aizley,0,41
Clark,155,State House,Phil Regeski,0,41
Clark,155,U.S. House,Joe Heck,0,3
Clark,155,U.S. House,Tom Jones,0,3
Clark,155,U.S. House,Jim Murphy,0,3
Clark,155,U.S. House,John Oceguera,0,3
Clark,155,U.S. Senate,Shelley Berkley,0,
Clark,155,U.S. Senate,Dean Heller,0,
Clark,155,U.S. Senate,None Of These Candidates,0,
Clark,155,U.S. Senate,David Vanderbeek,0,
Clark,160,President,Virgil Goode,2,
Clark,160,President,None Of These Candidates,6,
Clark,160,President,Gary Johnson,8,
Clark,160,U.S. House,Tom Jones,13,3
Clark,160,U.S. House,Jim Murphy,34,3
Clark,160,U.S. Senate,David Vanderbeek,34,
Clark,160,U.S. Senate,None Of These Candidates,37,
Clark,160,President,Mitt Romney,264,
Clark,160,U.S. House,Joe Heck,267,3
Clark,160,U.S. Senate,Dean Heller,270,
Clark,160,State House,C. Hurst,274,9
Clark,160,State Senate,Mari St. Martin,277,9
Clark,160,U.S. Senate,Shelley Berkley,374,
Clark,160,U.S. House,John Oceguera,387,3
Clark,160,State House,Andrew Martin,406,9
Clark,160,State Senate,Justin Jones,407,9
Clark,160,President,Barack Obama,460,
Clark,160,President,Virgil Goode,3,
Clark,160,President,None Of These Candidates,3,
Clark,160,President,Gary Johnson,7,
Clark,160,U.S. House,Tom Jones,20,3
Clark,160,U.S. House,Jim Murphy,25,3
Clark,160,U.S. Senate,None Of These Candidates,32,
Clark,160,U.S. Senate,David Vanderbeek,39,
Clark,160,U.S. Senate,Dean Heller,168,
Clark,160,President,Mitt Romney,178,
Clark,160,State House,C. Hurst,184,9
Clark,160,U.S. House,Joe Heck,189,3
Clark,160,State Senate,Mari St. Martin,190,9
Clark,160,U.S. House,John Oceguera,327,3
Clark,160,U.S. Senate,Shelley Berkley,344,
Clark,160,State Senate,Justin Jones,354,9
Clark,160,State House,Andrew Martin,359,9
Clark,160,President,Barack Obama,404,
Clark,160,President,Virgil Goode,0,
Clark,160,President,None Of These Candidates,2,
Clark,160,President,Gary Johnson,6,
Clark,160,U.S. House,Tom Jones,12,3
Clark,160,U.S. Senate,None Of These Candidates,17,
Clark,160,U.S. Senate,David Vanderbeek,17,
Clark,160,U.S. House,Jim Murphy,24,3
Clark,160,U.S. House,Joe Heck,159,3
Clark,160,President,Mitt Romney,160,
Clark,160,U.S. Senate,Dean Heller,160,
Clark,160,State House,C. Hurst,165,9
Clark,160,State Senate,Mari St. Martin,166,9
Clark,160,U.S. House,John Oceguera,274,3
Clark,160,U.S. Senate,Shelley Berkley,285,
Clark,160,State House,Andrew Martin,292,9
Clark,160,State Senate,Justin Jones,295,9
Clark,160,President,Barack Obama,328,
Clark,160,President,Virgil Goode,2,
Clark,160,President,None Of These Candidates,2,
Clark,160,President,Gary Johnson,6,
Clark,160,U.S. House,Tom Jones,17,3
Clark,160,U.S. Senate,David Vanderbeek,21,
Clark,160,U.S. House,Jim Murphy,23,3
Clark,160,U.S. Senate,None Of These Candidates,30,
Clark,160,U.S. House,John Oceguera,315,3
Clark,160,U.S. Senate,Dean Heller,328,
Clark,160,State House,C. Hurst,329,9
Clark,160,U.S. Senate,Shelley Berkley,335,
Clark,160,State Senate,Justin Jones,336,9
Clark,160,President,Mitt Romney,337,
Clark,160,U.S. House,Joe Heck,337,3
Clark,160,State Senate,Mari St. Martin,341,9
Clark,160,State House,Andrew Martin,348,9
Clark,160,President,Barack Obama,384,
Clark,160,President,Virgil Goode,1,
Clark,160,President,Gary Johnson,6,
Clark,160,President,None Of These Candidates,7,
Clark,160,U.S. House,Stan Vaughan,18,1
Clark,160,U.S. Senate,David Vanderbeek,26,
Clark,160,U.S. House,William Pojunis,27,1
Clark,160,U.S. Senate,None Of These Candidates,43,
Clark,160,State House,Robert Mcentee,220,42
Clark,160,U.S. House,Chris Edwards,229,1
Clark,160,State Senate,John Drake,235,11
Clark,160,U.S. Senate,Dean Heller,239,
Clark,160,President,Mitt Romney,241,
Clark,160,U.S. Senate,Shelley Berkley,472,
Clark,160,U.S. House,Dina Titus,502,1
Clark,160,State Senate,Aaron Ford,519,11
Clark,160,State House,Irene Bustamante Adams,533,42
Clark,160,President,Barack Obama,548,
Clark,160,President,Virgil Goode,1,
Clark,160,President,Gary Johnson,2,
Clark,160,U.S. House,Tom Jones,2,3
Clark,160,President,None Of These Candidates,3,
Clark,160,U.S. House,Jim Murphy,6,3
Clark,160,U.S. Senate,David Vanderbeek,12,
Clark,160,U.S. Senate,None Of These Candidates,18,
Clark,160,State House,Randy Spoor,130,22
Clark,160,U.S. Senate,Shelley Berkley,131,
Clark,160,U.S. House,John Oceguera,137,3
Clark,160,President,Barack Obama,146,
Clark,160,U.S. Senate,Dean Heller,228,
Clark,160,State House,Lynn Stewart,235,22
Clark,160,U.S. House,Joe Heck,241,3
Clark,160,President,Mitt Romney,245,
Clark,160,President,Virgil Goode,0,
Clark,160,President,Gary Johnson,0,
Clark,160,President,None Of These Candidates,0,
Clark,160,President,Barack Obama,0,
Clark,160,President,Mitt Romney,0,
Clark,160,State House,C. Hurst,0,9
Clark,160,State House,Andrew Martin,0,9
Clark,160,State Senate,Justin Jones,0,9
Clark,160,State Senate,Mari St. Martin,0,9
Clark,160,U.S. House,Joe Heck,0,3
Clark,160,U.S. House,Tom Jones,0,3
Clark,160,U.S. House,Jim Murphy,0,3
Clark,160,U.S. House,John Oceguera,0,3
Clark,160,U.S. Senate,Shelley Berkley,0,
Clark,160,U.S. Senate,Dean Heller,0,
Clark,160,U.S. Senate,None Of These Candidates,0,
Clark,160,U.S. Senate,David Vanderbeek,0,
Clark,160,President,Virgil Goode,0,
Clark,160,President,None Of These Candidates,3,
Clark,160,President,Gary Johnson,5,
Clark,160,U.S. House,Tom Jones,13,3
Clark,160,U.S. Senate,David Vanderbeek,20,
Clark,160,U.S. House,Jim Murphy,21,3
Clark,160,U.S. Senate,None Of These Candidates,27,
Clark,160,U.S. House,John Oceguera,297,3
Clark,160,State House,Paul Aizley,320,41
Clark,160,U.S. Senate,Shelley Berkley,323,
Clark,160,President,Barack Obama,359,
Clark,160,State House,Phil Regeski,566,41
Clark,160,U.S. Senate,Dean Heller,572,
Clark,160,President,Mitt Romney,587,
Clark,160,U.S. House,Joe Heck,593,3
Clark,161,President,Virgil Goode,0,
Clark,161,President,None Of These Candidates,1,
Clark,161,President,Gary Johnson,10,
Clark,161,U.S. House,William Pojunis,25,1
Clark,161,U.S. House,Stan Vaughan,25,1
Clark,161,U.S. Senate,David Vanderbeek,39,
Clark,161,U.S. Senate,None Of These Candidates,51,
Clark,161,U.S. House,Chris Edwards,244,1
Clark,161,State House,Robert Mcentee,253,42
Clark,161,State Senate,John Drake,262,11
Clark,161,U.S. Senate,Dean Heller,270,
Clark,161,President,Mitt Romney,289,
Clark,161,U.S. Senate,Shelley Berkley,552,
Clark,161,State Senate,Aaron Ford,597,11
Clark,161,U.S. House,Dina Titus,598,1
Clark,161,State House,Irene Bustamante Adams,607,42
Clark,161,President,Barack Obama,646,
Clark,161,President,Virgil Goode,0,
Clark,161,President,None Of These Candidates,3,
Clark,161,President,Gary Johnson,8,
Clark,161,U.S. House,William Pojunis,9,1
Clark,161,U.S. House,Stan Vaughan,16,1
Clark,161,U.S. Senate,David Vanderbeek,33,
Clark,161,U.S. Senate,None Of These Candidates,36,
Clark,161,State House,Arthur Martinez,386,8
Clark,161,State Senate,John Drake,399,11
Clark,161,U.S. House,Chris Edwards,400,1
Clark,161,U.S. Senate,Shelley Berkley,424,
Clark,161,U.S. Senate,Dean Heller,425,
Clark,161,President,Mitt Romney,446,
Clark,161,State Senate,Aaron Ford,460,11
Clark,161,U.S. House,Dina Titus,468,1
Clark,161,State House,Jason Frierson,480,8
Clark,161,President,Barack Obama,490,
Clark,161,President,Virgil Goode,2,
Clark,161,President,None Of These Candidates,3,
Clark,161,President,Gary Johnson,4,
Clark,161,U.S. House,William Pojunis,12,1
Clark,161,U.S. House,Stan Vaughan,14,1
Clark,161,U.S. Senate,David Vanderbeek,26,
Clark,161,U.S. Senate,None Of These Candidates,34,
Clark,161,State House,Robert Mcentee,199,42
Clark,161,State Senate,John Drake,199,11
Clark,161,U.S. Senate,Dean Heller,201,
Clark,161,U.S. House,Chris Edwards,209,1
Clark,161,President,Mitt Romney,220,
Clark,161,U.S. Senate,Shelley Berkley,356,
Clark,161,U.S. House,Dina Titus,372,1
Clark,161,State House,Irene Bustamante Adams,391,42
Clark,161,State Senate,Aaron Ford,391,11
Clark,161,President,Barack Obama,408,
Clark,161,President,Virgil Goode,0,
Clark,161,President,None Of These Candidates,4,
Clark,161,U.S. House,Stan Vaughan,8,1
Clark,161,President,Gary Johnson,10,
Clark,161,U.S. House,William Pojunis,12,1
Clark,161,U.S. Senate,David Vanderbeek,26,
Clark,161,U.S. Senate,None Of These Candidates,29,
Clark,161,State House,Arthur Martinez,246,8
Clark,161,State Senate,John Drake,248,11
Clark,161,U.S. House,Chris Edwards,256,1
Clark,161,U.S. Senate,Dean Heller,260,
Clark,161,President,Mitt Romney,265,
Clark,161,U.S. Senate,Shelley Berkley,367,
Clark,161,U.S. House,Dina Titus,395,1
Clark,161,State House,Jason Frierson,397,8
Clark,161,State Senate,Aaron Ford,401,11
Clark,161,President,Barack Obama,425,
Clark,161,President,Virgil Goode,2,
Clark,161,President,None Of These Candidates,4,
Clark,161,President,Gary Johnson,9,
Clark,161,U.S. House,Stan Vaughan,10,1
Clark,161,U.S. House,William Pojunis,22,1
Clark,161,U.S. Senate,None Of These Candidates,33,
Clark,161,U.S. Senate,David Vanderbeek,38,
Clark,161,State House,Robert Mcentee,241,42
Clark,161,U.S. House,Chris Edwards,251,1
Clark,161,State Senate,John Drake,256,11
Clark,161,U.S. Senate,Dean Heller,259,
Clark,161,President,Mitt Romney,274,
Clark,161,U.S. Senate,Shelley Berkley,405,
Clark,161,U.S. House,Dina Titus,429,1
Clark,161,State Senate,Aaron Ford,437,11
Clark,161,President,Barack Obama,455,
Clark,161,State House,Irene Bustamante Adams,457,42
Clark,161,President,Virgil Goode,2,
Clark,161,President,None Of These Candidates,5,
Clark,161,President,Gary Johnson,8,
Clark,161,U.S. House,William Pojunis,16,1
Clark,161,U.S. House,Stan Vaughan,18,1
Clark,161,U.S. Senate,None Of These Candidates,25,
Clark,161,U.S. Senate,David Vanderbeek,25,
Clark,161,U.S. House,Chris Edwards,197,1
Clark,161,State House,Arthur Martinez,201,8
Clark,161,State Senate,John Drake,205,11
Clark,161,President,Mitt Romney,210,
Clark,161,U.S. Senate,Dean Heller,210,
Clark,161,U.S. Senate,Shelley Berkley,296,
Clark,161,U.S. House,Dina Titus,310,1
Clark,161,State House,Jason Frierson,317,8
Clark,161,State Senate,Aaron Ford,317,11
Clark,161,President,Barack Obama,349,
Clark,161,President,Virgil Goode,1,
Clark,161,President,None Of These Candidates,1,
Clark,161,President,Gary Johnson,10,
Clark,161,U.S. House,William Pojunis,21,1
Clark,161,U.S. House,Stan Vaughan,22,1
Clark,161,U.S. Senate,None Of These Candidates,42,
Clark,161,U.S. Senate,David Vanderbeek,42,
Clark,161,U.S. House,Chris Edwards,247,1
Clark,161,State Senate,John Drake,253,11
Clark,161,U.S. Senate,Dean Heller,254,
Clark,161,State House,Arthur Martinez,256,8
Clark,161,President,Mitt Romney,270,
Clark,161,U.S. Senate,Shelley Berkley,433,
Clark,161,U.S. House,Dina Titus,461,1
Clark,161,State House,Jason Frierson,477,8
Clark,161,State Senate,Aaron Ford,477,11
Clark,161,President,Barack Obama,507,
Clark,161,President,Virgil Goode,0,
Clark,161,President,None Of These Candidates,4,
Clark,161,President,Gary Johnson,15,
Clark,161,U.S. House,Tom Jones,19,3
Clark,161,U.S. Senate,David Vanderbeek,32,
Clark,161,U.S. Senate,None Of These Candidates,35,
Clark,161,U.S. House,Jim Murphy,38,3
Clark,161,State House,Arthur Martinez,283,8
Clark,161,State Senate,John Drake,293,11
Clark,161,President,Mitt Romney,295,
Clark,161,U.S. House,Joe Heck,303,3
Clark,161,U.S. Senate,Dean Heller,307,
Clark,161,U.S. Senate,Shelley Berkley,400,
Clark,161,U.S. House,John Oceguera,403,3
Clark,161,State Senate,Aaron Ford,449,11
Clark,161,State House,Jason Frierson,460,8
Clark,161,President,Barack Obama,472,
Clark,161,President,Virgil Goode,1,
Clark,161,President,None Of These Candidates,2,
Clark,161,President,Gary Johnson,12,
Clark,161,U.S. House,Jim Murphy,26,3
Clark,161,U.S. Senate,David Vanderbeek,28,
Clark,161,U.S. House,Tom Jones,31,3
Clark,161,U.S. Senate,None Of These Candidates,44,
Clark,161,State House,Tom Blanchard,487,35
Clark,161,President,Mitt Romney,508,
Clark,161,U.S. Senate,Dean Heller,508,
Clark,161,U.S. House,Joe Heck,514,3
Clark,161,State Senate,Mari St. Martin,534,9
Clark,161,U.S. House,John Oceguera,559,3
Clark,161,State Senate,Justin Jones,578,9
Clark,161,U.S. Senate,Shelley Berkley,578,
Clark,161,State House,James Healey,610,35
Clark,161,President,Barack Obama,656,
Clark,162,President,Virgil Goode,4,
Clark,162,President,None Of These Candidates,4,
Clark,162,President,Gary Johnson,7,
Clark,162,U.S. House,Stan Vaughan,17,1
Clark,162,U.S. House,William Pojunis,22,1
Clark,162,U.S. Senate,David Vanderbeek,42,
Clark,162,U.S. Senate,None Of These Candidates,44,
Clark,162,State House,Robert Mcentee,215,42
Clark,162,U.S. House,Chris Edwards,233,1
Clark,162,State Senate,John Drake,239,11
Clark,162,U.S. Senate,Dean Heller,246,
Clark,162,President,Mitt Romney,249,
Clark,162,U.S. Senate,Shelley Berkley,400,
Clark,162,U.S. House,Dina Titus,439,1
Clark,162,State Senate,Aaron Ford,464,11
Clark,162,President,Barack Obama,481,
Clark,162,State House,Irene Bustamante Adams,485,42
Clark,162,President,Virgil Goode,1,
Clark,162,President,None Of These Candidates,5,
Clark,162,President,Gary Johnson,6,
Clark,162,U.S. House,William Pojunis,8,1
Clark,162,U.S. House,Stan Vaughan,15,1
Clark,162,U.S. Senate,None Of These Candidates,18,
Clark,162,U.S. Senate,David Vanderbeek,24,
Clark,162,State House,Arthur Martinez,115,8
Clark,162,State Senate,John Drake,116,11
Clark,162,U.S. House,Chris Edwards,117,1
Clark,162,U.S. Senate,Dean Heller,120,
Clark,162,President,Mitt Romney,127,
Clark,162,U.S. Senate,Shelley Berkley,151,
Clark,162,U.S. House,Dina Titus,170,1
Clark,162,President,Barack Obama,183,
Clark,162,State Senate,Aaron Ford,187,11
Clark,162,State House,Jason Frierson,190,8
Clark,162,President,Virgil Goode,0,
Clark,162,President,Gary Johnson,2,
Clark,162,President,None Of These Candidates,3,
Clark,162,U.S. House,William Pojunis,7,1
Clark,162,U.S. House,Stan Vaughan,7,1
Clark,162,U.S. Senate,David Vanderbeek,15,
Clark,162,U.S. Senate,None Of These Candidates,19,
Clark,162,State House,Robert Mcentee,178,42
Clark,162,U.S. House,Chris Edwards,191,1
Clark,162,State Senate,John Drake,196,11
Clark,162,U.S. Senate,Dean Heller,204,
Clark,162,President,Mitt Romney,209,
Clark,162,U.S. Senate,Shelley Berkley,226,
Clark,162,State Senate,Aaron Ford,247,11
Clark,162,U.S. House,Dina Titus,247,1
Clark,162,President,Barack Obama,256,
Clark,162,State House,Irene Bustamante Adams,262,42
Clark,162,President,None Of These Candidates,0,
Clark,162,President,Virgil Goode,2,
Clark,162,President,Gary Johnson,11,
Clark,162,U.S. House,Stan Vaughan,15,1
Clark,162,U.S. House,William Pojunis,20,1
Clark,162,U.S. Senate,None Of These Candidates,20,
Clark,162,U.S. Senate,David Vanderbeek,29,
Clark,162,State House,Arthur Martinez,249,8
Clark,162,U.S. House,Chris Edwards,257,1
Clark,162,State Senate,John Drake,258,11
Clark,162,U.S. Senate,Dean Heller,273,
Clark,162,President,Mitt Romney,282,
Clark,162,U.S. Senate,Shelley Berkley,341,
Clark,162,State Senate,Aaron Ford,361,11
Clark,162,U.S. House,Dina Titus,364,1
Clark,162,State House,Jason Frierson,365,8
Clark,162,President,Barack Obama,385,
Clark,163,President,Virgil Goode,3,
Clark,163,President,Gary Johnson,6,
Clark,163,President,None Of These Candidates,7,
