precinct,office,candidate,votes
Kingston 09,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",4
Precinct 99,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",0
Precinct 99,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",0
Precinct 99,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",0
Precinct 99,U.S. Senate (Democratic),"Berkley, Shelley",0
Precinct 99,U.S. Senate (Democratic),"Brown, Steve",0
Precinct 99,U.S. Senate (Democratic),"Ellsworth, Barry",0
Precinct 99,U.S. Senate (Democratic),"Macias, Louis",0
Precinct 99,U.S. Senate (Democratic),None Of These Candidates,0
Precinct 99,U.S. Senate (Democratic),"Price, Nancy",0
Precinct 99,U.S. Senate (Republican),"Brooks, Sherry",0
Precinct 99,U.S. Senate (Republican),"Charles, Richard",0
Precinct 99,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0
Precinct 99,U.S. Senate (Republican),"Heller, Dean",0
Precinct 99,U.S. Senate (Republican),None Of These Candidates,0
Precinct 99,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",0
Southern Lander County 06,"LANDER COUNTY Hospital Dist Trustee, Seat B (Nonpartisan)","ANDREOLA, KARLENE",37
Southern Lander County 06,"LANDER COUNTY Hospital Dist Trustee, Seat C (Nonpartisan)","ANCHO, KATHY L.",37
Southern Lander County 06,"LANDER COUNTY School Trustee, Area ONE (Nonpartisan)","LAKE, MARK",33
Southern Lander County 06,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)","MORRISON, JANICE",37
Southern Lander County 06,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",4
Southern Lander County 06,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",3
Southern Lander County 06,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",9
Southern Lander County 06,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",11
Southern Lander County 06,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",7
Southern Lander County 06,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",
Southern Lander County 06,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",
Southern Lander County 06,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",
Southern Lander County 06,U.S. Senate (Democratic),"Berkley, Shelley",
Southern Lander County 06,U.S. Senate (Democratic),"Brown, Steve",
Southern Lander County 06,U.S. Senate (Democratic),"Ellsworth, Barry",
Southern Lander County 06,U.S. Senate (Democratic),"Macias, Louis",
Southern Lander County 06,U.S. Senate (Democratic),None Of These Candidates,
Southern Lander County 06,U.S. Senate (Democratic),"Price, Nancy",
Southern Lander County 06,U.S. Senate (Republican),"Brooks, Sherry",0
Southern Lander County 06,U.S. Senate (Republican),"Charles, Richard",0
Southern Lander County 06,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1
Southern Lander County 06,U.S. Senate (Republican),"Heller, Dean",31
Southern Lander County 06,U.S. Senate (Republican),None Of These Candidates,0
Southern Lander County 06,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",0
Southern Lander County 06,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",3
Southern Lander County 06,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",24
Southern Lander County 06,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",6
