candidate,party,percent,votes,office
"BROWN, TUSTON L.",NP,20.27%,"3,286","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G (NP)"
"GREISEN, JULIE",NP,27.75%,"4,500","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G (NP)"
"MOULTON, SHEILA R.",NP,40.15%,"6,510","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G (NP)"
"WOERTZ, VAN FRANKLIN",NP,11.83%,"1,919","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G (NP)"
Under Votes,,0.00%,0,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G (NP)"
Over Votes,,0.00%,0,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G (NP)"
"BEASLEY, ROD",NP,2.25%,"2,805",SHERIFF (NP)
"CASTILLO, JOE",NP,4.08%,"5,074",SHERIFF (NP)
"FRANKS, STEVE",NP,12.05%,"15,002",SHERIFF (NP)
"GAUTHIER, DEBRA",NP,5.81%,"7,237",SHERIFF (NP)
"GRANT, CHRIS",NP,1.12%,"1,393",SHERIFF (NP)
"MARTINES, GORDON",NP,1.08%,"1,344",SHERIFF (NP)
"MOERS, RON",NP,0.51%,629,SHERIFF (NP)
"OAKS, RANDY",NP,30.89%,"38,453",SHERIFF (NP)
"THOMAS, DIRK",NP,0.96%,"1,189",SHERIFF (NP)
"YOUNG, BILL",NP,41.25%,"51,340",SHERIFF (NP)
Under Votes,,0.00%,0,SHERIFF (NP)
Over Votes,,0.00%,0,SHERIFF (NP)
