jurisdiction,precinct,office,party,candidate,votes
Elko,3,President,Democratic,Hillary Clinton,1
Elko,30,President,Democratic,Hillary Clinton,0
Elko,31,President,Democratic,Hillary Clinton,1
Elko,32,President,Democratic,Hillary Clinton,1
Elko,33,President,Democratic,Hillary Clinton,1
Elko,34,President,Democratic,Hillary Clinton,0
Elko,35,President,Democratic,Hillary Clinton,0
Elko,36,President,Democratic,Hillary Clinton,1
Elko,37,President,Democratic,Hillary Clinton,0
Elko,38,President,Democratic,Hillary Clinton,1
Elko,39,President,Democratic,Hillary Clinton,0
Elko,4,President,Democratic,Hillary Clinton,1
Elko,40,President,Democratic,Hillary Clinton,1
Elko,41,President,Democratic,Hillary Clinton,1
Elko,5,President,Democratic,Hillary Clinton,2
Elko,6,President,Democratic,Hillary Clinton,1
Elko,7,President,Democratic,Hillary Clinton,1
Elko,8,President,Democratic,Hillary Clinton,2
Elko,9,President,Democratic,Hillary Clinton,1
Esmeralda,1,President,Democratic,Hillary Clinton,2
Esmeralda,2,President,Democratic,Hillary Clinton,0
Esmeralda,3,President,Democratic,Hillary Clinton,4
Esmeralda,4,President,Democratic,Hillary Clinton,1
Esmeralda,5,President,Democratic,Hillary Clinton,0
Eureka,1,President,Democratic,Hillary Clinton,1
Eureka,2,President,Democratic,Hillary Clinton,2
Eureka,3,President,Democratic,Hillary Clinton,0
Eureka,4,President,Democratic,Hillary Clinton,0
Humboldt,1,President,Democratic,Hillary Clinton,4
Humboldt,10,President,Democratic,Hillary Clinton,2
Humboldt,11,President,Democratic,Hillary Clinton,0
Humboldt,12,President,Democratic,Hillary Clinton,0
Humboldt,13,President,Democratic,Hillary Clinton,1
Humboldt,14,President,Democratic,Hillary Clinton,1
Humboldt,15,President,Democratic,Hillary Clinton,0
Humboldt,2,President,Democratic,Hillary Clinton,3
Humboldt,3,President,Democratic,Hillary Clinton,3
Humboldt,4,President,Democratic,Hillary Clinton,2
Humboldt,5,President,Democratic,Hillary Clinton,4
Humboldt,6,President,Democratic,Hillary Clinton,4
Humboldt,7,President,Democratic,Hillary Clinton,3
Humboldt,8,President,Democratic,Hillary Clinton,0
Humboldt,9,President,Democratic,Hillary Clinton,0
Lander,1,President,Democratic,Hillary Clinton,4
Lander,2,President,Democratic,Hillary Clinton,5
Lander,3,President,Democratic,Hillary Clinton,0
Lander,4,President,Democratic,Hillary Clinton,2
Lander,5,President,Democratic,Hillary Clinton,6
Lander,6,President,Democratic,Hillary Clinton,1
Lander,7,President,Democratic,Hillary Clinton,1
Lander,8,President,Democratic,Hillary Clinton,1
Lander,9,President,Democratic,Hillary Clinton,0
Lincoln,1,President,Democratic,Hillary Clinton,10
Lincoln,2,President,Democratic,Hillary Clinton,11
Lincoln,3,President,Democratic,Hillary Clinton,0
Lincoln,4,President,Democratic,Hillary Clinton,17
Lincoln,5,President,Democratic,Hillary Clinton,0
Lyon,1,President,Democratic,Hillary Clinton,2
Lyon,10,President,Democratic,Hillary Clinton,1
Lyon,11,President,Democratic,Hillary Clinton,3
Lyon,12,President,Democratic,Hillary Clinton,1
Lyon,13,President,Democratic,Hillary Clinton,3
Lyon,14,President,Democratic,Hillary Clinton,4
Lyon,15,President,Democratic,Hillary Clinton,3
Lyon,16,President,Democratic,Hillary Clinton,4
Lyon,17,President,Democratic,Hillary Clinton,1
Lyon,18,President,Democratic,Hillary Clinton,1
Lyon,19,President,Democratic,Hillary Clinton,2
Lyon,2,President,Democratic,Hillary Clinton,2
Lyon,20,President,Democratic,Hillary Clinton,1
Lyon,21,President,Democratic,Hillary Clinton,2
Lyon,22,President,Democratic,Hillary Clinton,1
Lyon,23,President,Democratic,Hillary Clinton,2
Lyon,24,President,Democratic,Hillary Clinton,2
Lyon,25,President,Democratic,Hillary Clinton,2
Lyon,26,President,Democratic,Hillary Clinton,1
Lyon,27,President,Democratic,Hillary Clinton,3
Lyon,28,President,Democratic,Hillary Clinton,2
Lyon,29,President,Democratic,Hillary Clinton,1
Lyon,3,President,Democratic,Hillary Clinton,3
Lyon,30,President,Democratic,Hillary Clinton,3
Lyon,31,President,Democratic,Hillary Clinton,2
Lyon,32,President,Democratic,Hillary Clinton,2
Lyon,33,President,Democratic,Hillary Clinton,3
Lyon,34,President,Democratic,Hillary Clinton,0
Lyon,35,President,Democratic,Hillary Clinton,1
Lyon,36,President,Democratic,Hillary Clinton,1
Lyon,37,President,Democratic,Hillary Clinton,2
Lyon,38,President,Democratic,Hillary Clinton,3
Lyon,39,President,Democratic,Hillary Clinton,4
Lyon,4,President,Democratic,Hillary Clinton,2
Lyon,40,President,Democratic,Hillary Clinton,2
Lyon,5,President,Democratic,Hillary Clinton,0
Lyon,6,President,Democratic,Hillary Clinton,4
Lyon,7,President,Democratic,Hillary Clinton,2
Lyon,8,President,Democratic,Hillary Clinton,0
Lyon,9,President,Democratic,Hillary Clinton,2
Mineral,1,President,Democratic,Hillary Clinton,6
Mineral,11,President,Democratic,Hillary Clinton,11
Mineral,12,President,Democratic,Hillary Clinton,2
Mineral,2,President,Democratic,Hillary Clinton,4
Mineral,3,President,Democratic,Hillary Clinton,3
Mineral,4,President,Democratic,Hillary Clinton,3
Mineral,5,President,Democratic,Hillary Clinton,5
Mineral,6,President,Democratic,Hillary Clinton,4
Mineral,7,President,Democratic,Hillary Clinton,1
Mineral,8,President,Democratic,Hillary Clinton,0
Mineral,9,President,Democratic,Hillary Clinton,0
Nye,1,President,Democratic,Hillary Clinton,1
Nye,10,President,Democratic,Hillary Clinton,3
Nye,11,President,Democratic,Hillary Clinton,5
Nye,12,President,Democratic,Hillary Clinton,0
Nye,13,President,Democratic,Hillary Clinton,0
Nye,14,President,Democratic,Hillary Clinton,3
Nye,15,President,Democratic,Hillary Clinton,0
Nye,16,President,Democratic,Hillary Clinton,4
Nye,17,President,Democratic,Hillary Clinton,4
Nye,18,President,Democratic,Hillary Clinton,1
Nye,19,President,Democratic,Hillary Clinton,6
Nye,2,President,Democratic,Hillary Clinton,0
Nye,20,President,Democratic,Hillary Clinton,4
Nye,21,President,Democratic,Hillary Clinton,6
Nye,22,President,Democratic,Hillary Clinton,4
ye,1,President,Democratic,Hillary Clinton,1
Nye,10,President,Democratic,Hillary Clinton,3
Nye,11,President,Democratic,Hillary Clinton,5
Nye,12,President,Democratic,Hillary Clinton,0
Nye,13,President,Democratic,Hillary Clinton,0
Nye,14,President,Democratic,Hillary Clinton,3
Nye,15,President,Democratic,Hillary Clinton,0
Nye,16,President,Democratic,Hillary Clinton,4
Nye,17,President,Democratic,Hillary Clinton,4
Nye,18,President,Democratic,Hillary Clinton,1
Nye,19,President,Democratic,Hillary Clinton,6
Nye,2,President,Democratic,Hillary Clinton,0
Nye,20,President,Democratic,Hillary Clinton,4
Nye,21,President,Democratic,Hillary Clinton,6
Nye,22,President,Democratic,Hillary Clinton,4
Nye,7,President,Democratic,Hillary Clinton,1
Nye,8,President,Democratic,Hillary Clinton,0
Nye,9,President,Democratic,Hillary Clinton,5
Pershing,1,President,Democratic,Hillary Clinton,7
Pershing,3,President,Democratic,Hillary Clinton,16
Pershing,4,President,Democratic,Hillary Clinton,5
Pershing,5,President,Democratic,Hillary Clinton,1
Pershing,6,President,Democratic,Hillary Clinton,1
Pershing,7,President,Democratic,Hillary Clinton,2
Storey,1,President,Democratic,Hillary Clinton,2
Storey,11,President,Democratic,Hillary Clinton,0
Storey,15,President,Democratic,Hillary Clinton,0
Storey,2,President,Democratic,Hillary Clinton,5
Storey,3,President,Democratic,Hillary Clinton,0
Storey,4,President,Democratic,Hillary Clinton,4
Storey,5,President,Democratic,Hillary Clinton,11
Storey,6,President,Democratic,Hillary Clinton,13
Washoe,100000,President,Democratic,Hillary Clinton,3
Washoe,100200,President,Democratic,Hillary Clinton,2
Washoe,100300,President,Democratic,Hillary Clinton,5
Washoe,100600,President,Democratic,Hillary Clinton,1
Washoe,100700,President,Democratic,Hillary Clinton,5
Washoe,100800,President,Democratic,Hillary Clinton,1
Washoe,101000,President,Democratic,Hillary Clinton,4
Washoe,101100,President,Democratic,Hillary Clinton,3
Washoe,101200,President,Democratic,Hillary Clinton,1
Washoe,101400,President,Democratic,Hillary Clinton,5
Washoe,101500,President,Democratic,Hillary Clinton,0
Washoe,101600,President,Democratic,Hillary Clinton,4
Washoe,101800,President,Democratic,Hillary Clinton,2
Washoe,102000,President,Democratic,Hillary Clinton,5
Washoe,102200,President,Democratic,Hillary Clinton,4
Washoe,102300,President,Democratic,Hillary Clinton,3
Washoe,102400,President,Democratic,Hillary Clinton,6
Washoe,102600,President,Democratic,Hillary Clinton,3
Washoe,102700,President,Democratic,Hillary Clinton,2
Washoe,102900,President,Democratic,Hillary Clinton,6
Washoe,103100,President,Democratic,Hillary Clinton,3
Washoe,103200,President,Democratic,Hillary Clinton,3
Washoe,103300,President,Democratic,Hillary Clinton,4
Washoe,103500,President,Democratic,Hillary Clinton,2
Washoe,103600,President,Democratic,Hillary Clinton,3
Washoe,103800,President,Democratic,Hillary Clinton,3
Washoe,103900,President,Democratic,Hillary Clinton,3
Washoe,104000,President,Democratic,Hillary Clinton,0
Washoe,104300,President,Democratic,Hillary Clinton,3
Washoe,104400,President,Democratic,Hillary Clinton,4
Washoe,104500,President,Democratic,Hillary Clinton,2
Washoe,104600,President,Democratic,Hillary Clinton,0
Washoe,104700,President,Democratic,Hillary Clinton,1
Washoe,105300,President,Democratic,Hillary Clinton,1
Washoe,105500,President,Democratic,Hillary Clinton,4
Washoe,105600,President,Democratic,Hillary Clinton,3
Washoe,105700,President,Democratic,Hillary Clinton,5
Washoe,200000,President,Democratic,Hillary Clinton,1
Washoe,200400,President,Democratic,Hillary Clinton,4
Washoe,200600,President,Democratic,Hillary Clinton,3
Washoe,200700,President,Democratic,Hillary Clinton,0
Washoe,200900,President,Democratic,Hillary Clinton,2
Washoe,201000,President,Democratic,Hillary Clinton,1
Washoe,201300,President,Democratic,Hillary Clinton,2
Washoe,201600,President,Democratic,Hillary Clinton,1
Washoe,201700,President,Democratic,Hillary Clinton,3
Washoe,201800,President,Democratic,Hillary Clinton,5
Washoe,201900,President,Democratic,Hillary Clinton,2
Washoe,202000,President,Democratic,Hillary Clinton,1
Washoe,202100,President,Democratic,Hillary Clinton,2
Washoe,202200,President,Democratic,Hillary Clinton,2
Washoe,202300,President,Democratic,Hillary Clinton,3
Washoe,202500,President,Democratic,Hillary Clinton,2
Washoe,202600,President,Democratic,Hillary Clinton,1
Washoe,202700,President,Democratic,Hillary Clinton,2
Washoe,202800,President,Democratic,Hillary Clinton,3
Washoe,202900,President,Democratic,Hillary Clinton,2
Washoe,203000,President,Democratic,Hillary Clinton,2
Washoe,203100,President,Democratic,Hillary Clinton,3
Washoe,203200,President,Democratic,Hillary Clinton,4
Washoe,203300,President,Democratic,Hillary Clinton,3
Washoe,203400,President,Democratic,Hillary Clinton,1
Washoe,203500,President,Democratic,Hillary Clinton,4
Washoe,203600,President,Democratic,Hillary Clinton,3
Washoe,203700,President,Democratic,Hillary Clinton,2
Washoe,203900,President,Democratic,Hillary Clinton,2
Washoe,204000,President,Democratic,Hillary Clinton,2
Washoe,204100,President,Democratic,Hillary Clinton,3
Washoe,204200,President,Democratic,Hillary Clinton,5
Washoe,204300,President,Democratic,Hillary Clinton,0
Washoe,204700,President,Democratic,Hillary Clinton,2
Washoe,204900,President,Democratic,Hillary Clinton,3
Washoe,205000,President,Democratic,Hillary Clinton,3
Washoe,205800,President,Democratic,Hillary Clinton,3
Washoe,206000,President,Democratic,Hillary Clinton,1
Washoe,206200,President,Democratic,Hillary Clinton,1
Washoe,206500,President,Democratic,Hillary Clinton,0
Washoe,206800,President,Democratic,Hillary Clinton,3
Washoe,207300,President,Democratic,Hillary Clinton,0
Washoe,208000,President,Democratic,Hillary Clinton,3
Washoe,208100,President,Democratic,Hillary Clinton,3
Washoe,300100,President,Democratic,Hillary Clinton,1
Washoe,300400,President,Democratic,Hillary Clinton,3
Washoe,300500,President,Democratic,Hillary Clinton,0
Washoe,300600,President,Democratic,Hillary Clinton,1
Washoe,300700,President,Democratic,Hillary Clinton,5
Washoe,300800,President,Democratic,Hillary Clinton,3
Washoe,300900,President,Democratic,Hillary Clinton,0
Washoe,301000,President,Democratic,Hillary Clinton,4
Washoe,301100,President,Democratic,Hillary Clinton,1
Washoe,301200,President,Democratic,Hillary Clinton,3
Washoe,301300,President,Democratic,Hillary Clinton,0
Washoe,301400,President,Democratic,Hillary Clinton,1
Washoe,301500,President,Democratic,Hillary Clinton,0
Washoe,301600,President,Democratic,Hillary Clinton,4
Washoe,301700,President,Democratic,Hillary Clinton,6
Washoe,301800,President,Democratic,Hillary Clinton,5
Washoe,301900,President,Democratic,Hillary Clinton,3
Washoe,302000,President,Democratic,Hillary Clinton,2
Washoe,302100,President,Democratic,Hillary Clinton,0
Washoe,302200,President,Democratic,Hillary Clinton,4
Washoe,302300,President,Democratic,Hillary Clinton,2
Washoe,302400,President,Democratic,Hillary Clinton,4
Washoe,302500,President,Democratic,Hillary Clinton,0
Washoe,302600,President,Democratic,Hillary Clinton,5
Washoe,302700,President,Democratic,Hillary Clinton,0
Washoe,302800,President,Democratic,Hillary Clinton,2
Washoe,302900,President,Democratic,Hillary Clinton,1
Washoe,303000,President,Democratic,Hillary Clinton,2
Washoe,303100,President,Democratic,Hillary Clinton,2
Washoe,303200,President,Democratic,Hillary Clinton,2
Washoe,303600,President,Democratic,Hillary Clinton,0
Washoe,303800,President,Democratic,Hillary Clinton,2
Washoe,304000,President,Democratic,Hillary Clinton,2
Washoe,400000,President,Democratic,Hillary Clinton,3
Washoe,400300,President,Democratic,Hillary Clinton,3
Washoe,400500,President,Democratic,Hillary Clinton,2
Washoe,400700,President,Democratic,Hillary Clinton,0
Washoe,400900,President,Democratic,Hillary Clinton,2
Washoe,401200,President,Democratic,Hillary Clinton,1
Washoe,401400,President,Democratic,Hillary Clinton,3
Washoe,401600,President,Democratic,Hillary Clinton,3
Washoe,401700,President,Democratic,Hillary Clinton,4
Washoe,401900,President,Democratic,Hillary Clinton,3
Washoe,402000,President,Democratic,Hillary Clinton,0
Washoe,402100,President,Democratic,Hillary Clinton,0
Washoe,402200,President,Democratic,Hillary Clinton,1
Washoe,402300,President,Democratic,Hillary Clinton,3
Washoe,402400,President,Democratic,Hillary Clinton,1
Washoe,402500,President,Democratic,Hillary Clinton,2
Washoe,402600,President,Democratic,Hillary Clinton,0
Washoe,403200,President,Democratic,Hillary Clinton,5
Washoe,403300,President,Democratic,Hillary Clinton,4
Washoe,403500,President,Democratic,Hillary Clinton,3
Washoe,403600,President,Democratic,Hillary Clinton,3
Washoe,403700,President,Democratic,Hillary Clinton,3
Washoe,403800,President,Democratic,Hillary Clinton,1
Washoe,403900,President,Democratic,Hillary Clinton,5
Washoe,404000,President,Democratic,Hillary Clinton,0
Washoe,404100,President,Democratic,Hillary Clinton,4
Washoe,404300,President,Democratic,Hillary Clinton,1
Washoe,404500,President,Democratic,Hillary Clinton,3
Washoe,404600,President,Democratic,Hillary Clinton,0
Washoe,404700,President,Democratic,Hillary Clinton,0
Washoe,405300,President,Democratic,Hillary Clinton,3
Washoe,500000,President,Democratic,Hillary Clinton,3
Washoe,500300,President,Democratic,Hillary Clinton,0
Washoe,500500,President,Democratic,Hillary Clinton,4
Washoe,500600,President,Democratic,Hillary Clinton,6
Washoe,500700,President,Democratic,Hillary Clinton,0
Washoe,500800,President,Democratic,Hillary Clinton,2
Washoe,500900,President,Democratic,Hillary Clinton,2
Washoe,501000,President,Democratic,Hillary Clinton,0
Washoe,501100,President,Democratic,Hillary Clinton,4
Washoe,501200,President,Democratic,Hillary Clinton,2
Washoe,501400,President,Democratic,Hillary Clinton,2
Washoe,501500,President,Democratic,Hillary Clinton,2
Washoe,501600,President,Democratic,Hillary Clinton,3
Washoe,501800,President,Democratic,Hillary Clinton,3
Washoe,502000,President,Democratic,Hillary Clinton,0
Washoe,502200,President,Democratic,Hillary Clinton,2
Washoe,502400,President,Democratic,Hillary Clinton,4
Washoe,502600,President,Democratic,Hillary Clinton,4
Washoe,502700,President,Democratic,Hillary Clinton,0
Washoe,503000,President,Democratic,Hillary Clinton,3
Washoe,503100,President,Democratic,Hillary Clinton,3
Washoe,503200,President,Democratic,Hillary Clinton,1
Washoe,503300,President,Democratic,Hillary Clinton,3
Washoe,503400,President,Democratic,Hillary Clinton,2
Washoe,503500,President,Democratic,Hillary Clinton,4
Washoe,503600,President,Democratic,Hillary Clinton,5
Washoe,503900,President,Democratic,Hillary Clinton,0
Washoe,504000,President,Democratic,Hillary Clinton,3
Washoe,504100,President,Democratic,Hillary Clinton,2
Washoe,504500,President,Democratic,Hillary Clinton,4
Washoe,504600,President,Democratic,Hillary Clinton,6
Washoe,504800,President,Democratic,Hillary Clinton,1
Washoe,505300,President,Democratic,Hillary Clinton,1
Washoe,505400,President,Democratic,Hillary Clinton,1
Washoe,505600,President,Democratic,Hillary Clinton,4
Washoe,506200,President,Democratic,Hillary Clinton,4
Washoe,506300,President,Democratic,Hillary Clinton,2
Washoe,506400,President,Democratic,Hillary Clinton,0
Washoe,506600,President,Democratic,Hillary Clinton,1
Washoe,610000,President,Democratic,Hillary Clinton,6
Washoe,610100,President,Democratic,Hillary Clinton,1
Washoe,610500,President,Democratic,Hillary Clinton,2
Washoe,610600,President,Democratic,Hillary Clinton,2
Washoe,610700,President,Democratic,Hillary Clinton,1
Washoe,610800,President,Democratic,Hillary Clinton,3
Washoe,610900,President,Democratic,Hillary Clinton,3
Washoe,611000,President,Democratic,Hillary Clinton,4
Washoe,611100,President,Democratic,Hillary Clinton,4
Washoe,611300,President,Democratic,Hillary Clinton,4
Washoe,611400,President,Democratic,Hillary Clinton,5
Washoe,611500,President,Democratic,Hillary Clinton,1
Washoe,620200,President,Democratic,Hillary Clinton,7
Washoe,620300,President,Democratic,Hillary Clinton,2
Washoe,620500,President,Democratic,Hillary Clinton,7
Washoe,620600,President,Democratic,Hillary Clinton,1
Washoe,620800,President,Democratic,Hillary Clinton,3
Washoe,620900,President,Democratic,Hillary Clinton,2
Washoe,621000,President,Democratic,Hillary Clinton,3
Washoe,621100,President,Democratic,Hillary Clinton,5
Washoe,621200,President,Democratic,Hillary Clinton,1
Washoe,621300,President,Democratic,Hillary Clinton,3
Washoe,621400,President,Democratic,Hillary Clinton,1
Washoe,621600,President,Democratic,Hillary Clinton,2
Washoe,630000,President,Democratic,Hillary Clinton,4
Washoe,630100,President,Democratic,Hillary Clinton,1
Washoe,630200,President,Democratic,Hillary Clinton,2
Washoe,630300,President,Democratic,Hillary Clinton,0
Washoe,630600,President,Democratic,Hillary Clinton,5
Washoe,630700,President,Democratic,Hillary Clinton,7
Washoe,630800,President,Democratic,Hillary Clinton,5
Washoe,631000,President,Democratic,Hillary Clinton,3
Washoe,631100,President,Democratic,Hillary Clinton,3
Washoe,631300,President,Democratic,Hillary Clinton,6
Washoe,631400,President,Democratic,Hillary Clinton,3
Washoe,631800,President,Democratic,Hillary Clinton,1
Washoe,631900,President,Democratic,Hillary Clinton,2
Washoe,632000,President,Democratic,Hillary Clinton,3
Washoe,640000,President,Democratic,Hillary Clinton,3
Washoe,640300,President,Democratic,Hillary Clinton,5
Washoe,640500,President,Democratic,Hillary Clinton,3
Washoe,641100,President,Democratic,Hillary Clinton,3
Washoe,641300,President,Democratic,Hillary Clinton,4
Washoe,641500,President,Democratic,Hillary Clinton,2
Washoe,641600,President,Democratic,Hillary Clinton,6
Washoe,641800,President,Democratic,Hillary Clinton,3
Washoe,642200,President,Democratic,Hillary Clinton,4
Washoe,642300,President,Democratic,Hillary Clinton,2
Washoe,642500,President,Democratic,Hillary Clinton,4
Washoe,650000,President,Democratic,Hillary Clinton,4
Washoe,650100,President,Democratic,Hillary Clinton,5
Washoe,650300,President,Democratic,Hillary Clinton,0
Washoe,650800,President,Democratic,Hillary Clinton,2
Washoe,651100,President,Democratic,Hillary Clinton,2
Washoe,651300,President,Democratic,Hillary Clinton,4
Washoe,651400,President,Democratic,Hillary Clinton,4
Washoe,651600,President,Democratic,Hillary Clinton,5
Washoe,651900,President,Democratic,Hillary Clinton,6
Washoe,652000,President,Democratic,Hillary Clinton,2
Washoe,652100,President,Democratic,Hillary Clinton,2
Washoe,652200,President,Democratic,Hillary Clinton,2
Washoe,652400,President,Democratic,Hillary Clinton,4
Washoe,652500,President,Democratic,Hillary Clinton,0
Washoe,652600,President,Democratic,Hillary Clinton,1
Washoe,730000,President,Democratic,Hillary Clinton,2
Washoe,730200,President,Democratic,Hillary Clinton,0
Washoe,730400,President,Democratic,Hillary Clinton,5
Washoe,730600,President,Democratic,Hillary Clinton,0
Washoe,730700,President,Democratic,Hillary Clinton,0
Washoe,730800,President,Democratic,Hillary Clinton,1
Washoe,730900,President,Democratic,Hillary Clinton,1
Washoe,731200,President,Democratic,Hillary Clinton,2
Washoe,731300,President,Democratic,Hillary Clinton,1
Washoe,731400,President,Democratic,Hillary Clinton,2
Washoe,731500,President,Democratic,Hillary Clinton,0
Washoe,731600,President,Democratic,Hillary Clinton,5
Washoe,731700,President,Democratic,Hillary Clinton,0
Washoe,731800,President,Democratic,Hillary Clinton,1
Washoe,731900,President,Democratic,Hillary Clinton,0
Washoe,740000,President,Democratic,Hillary Clinton,0
Washoe,740200,President,Democratic,Hillary Clinton,3
Washoe,740400,President,Democratic,Hillary Clinton,1
Washoe,740700,President,Democratic,Hillary Clinton,2
Washoe,740800,President,Democratic,Hillary Clinton,1
Washoe,741000,President,Democratic,Hillary Clinton,3
Washoe,741200,President,Democratic,Hillary Clinton,4
Washoe,741300,President,Democratic,Hillary Clinton,0
Washoe,741400,President,Democratic,Hillary Clinton,4
Washoe,741500,President,Democratic,Hillary Clinton,5
Washoe,741600,President,Democratic,Hillary Clinton,3
Washoe,741700,President,Democratic,Hillary Clinton,3
Washoe,741800,President,Democratic,Hillary Clinton,3
Washoe,742400,President,Democratic,Hillary Clinton,1
Washoe,742500,President,Democratic,Hillary Clinton,2
Washoe,742600,President,Democratic,Hillary Clinton,1
Washoe,743000,President,Democratic,Hillary Clinton,3
Washoe,743100,President,Democratic,Hillary Clinton,1
Washoe,743300,President,Democratic,Hillary Clinton,0
Washoe,750000,President,Democratic,Hillary Clinton,0
Washoe,750100,President,Democratic,Hillary Clinton,1
Washoe,750200,President,Democratic,Hillary Clinton,5
Washoe,750300,President,Democratic,Hillary Clinton,0
Washoe,750400,President,Democratic,Hillary Clinton,5
Washoe,750500,President,Democratic,Hillary Clinton,1
Washoe,750600,President,Democratic,Hillary Clinton,1
Washoe,750700,President,Democratic,Hillary Clinton,1
Washoe,750800,President,Democratic,Hillary Clinton,0
Washoe,750900,President,Democratic,Hillary Clinton,0
Washoe,751200,President,Democratic,Hillary Clinton,1
Washoe,751300,President,Democratic,Hillary Clinton,3
Washoe,751400,President,Democratic,Hillary Clinton,3
Washoe,751600,President,Democratic,Hillary Clinton,0
Washoe,751700,President,Democratic,Hillary Clinton,1
Washoe,751900,President,Democratic,Hillary Clinton,2
Washoe,752000,President,Democratic,Hillary Clinton,4
Washoe,752100,President,Democratic,Hillary Clinton,0
Washoe,752200,President,Democratic,Hillary Clinton,0
Washoe,752300,President,Democratic,Hillary Clinton,2
Washoe,752400,President,Democratic,Hillary Clinton,2
Washoe,752500,President,Democratic,Hillary Clinton,3
Washoe,752600,President,Democratic,Hillary Clinton,3
Washoe,752700,President,Democratic,Hillary Clinton,2
Washoe,752800,President,Democratic,Hillary Clinton,1
Washoe,752900,President,Democratic,Hillary Clinton,0
Washoe,753100,President,Democratic,Hillary Clinton,0
Washoe,753200,President,Democratic,Hillary Clinton,3
Washoe,753300,President,Democratic,Hillary Clinton,1
Washoe,753400,President,Democratic,Hillary Clinton,0
Washoe,753600,President,Democratic,Hillary Clinton,3
Washoe,753700,President,Democratic,Hillary Clinton,0
Washoe,753900,President,Democratic,Hillary Clinton,0
Washoe,754000,President,Democratic,Hillary Clinton,1
Washoe,754100,President,Democratic,Hillary Clinton,3
Washoe,754300,President,Democratic,Hillary Clinton,2
Washoe,754400,President,Democratic,Hillary Clinton,1
Washoe,754700,President,Democratic,Hillary Clinton,0
Washoe,754800,President,Democratic,Hillary Clinton,0
Washoe,754900,President,Democratic,Hillary Clinton,0
Washoe,755000,President,Democratic,Hillary Clinton,1
Washoe,755200,President,Democratic,Hillary Clinton,0
Washoe,755300,President,Democratic,Hillary Clinton,0
Washoe,755600,President,Democratic,Hillary Clinton,0
Washoe,755700,President,Democratic,Hillary Clinton,3
Washoe,755800,President,Democratic,Hillary Clinton,0
Washoe,756300,President,Democratic,Hillary Clinton,0
Washoe,756500,President,Democratic,Hillary Clinton,0
Washoe,756900,President,Democratic,Hillary Clinton,0
Washoe,757000,President,Democratic,Hillary Clinton,0
Washoe,757100,President,Democratic,Hillary Clinton,0
Washoe,757200,President,Democratic,Hillary Clinton,0
Washoe,757300,President,Democratic,Hillary Clinton,3
Washoe,757500,President,Democratic,Hillary Clinton,0
Washoe,757600,President,Democratic,Hillary Clinton,1
Washoe,757700,President,Democratic,Hillary Clinton,0
Washoe,757800,President,Democratic,Hillary Clinton,0
Washoe,757900,President,Democratic,Hillary Clinton,1
Washoe,758100,President,Democratic,Hillary Clinton,3
Washoe,758200,President,Democratic,Hillary Clinton,0
Washoe,758400,President,Democratic,Hillary Clinton,0
Washoe,758600,President,Democratic,Hillary Clinton,1
Washoe,758700,President,Democratic,Hillary Clinton,0
Washoe,758800,President,Democratic,Hillary Clinton,0
Washoe,758900,President,Democratic,Hillary Clinton,0
Washoe,810000,President,Democratic,Hillary Clinton,4
Washoe,810100,President,Democratic,Hillary Clinton,1
Washoe,810200,President,Democratic,Hillary Clinton,1
Washoe,810300,President,Democratic,Hillary Clinton,3
Washoe,810400,President,Democratic,Hillary Clinton,2
Washoe,810500,President,Democratic,Hillary Clinton,3
Washoe,810600,President,Democratic,Hillary Clinton,3
Washoe,810700,President,Democratic,Hillary Clinton,4
Washoe,810800,President,Democratic,Hillary Clinton,3
Washoe,810900,President,Democratic,Hillary Clinton,3
Washoe,811000,President,Democratic,Hillary Clinton,1
Washoe,811100,President,Democratic,Hillary Clinton,1
Washoe,811200,President,Democratic,Hillary Clinton,0
Washoe,811400,President,Democratic,Hillary Clinton,1
Washoe,811500,President,Democratic,Hillary Clinton,0
Washoe,811600,President,Democratic,Hillary Clinton,2
Washoe,811700,President,Democratic,Hillary Clinton,3
Washoe,811800,President,Democratic,Hillary Clinton,1
Washoe,812500,President,Democratic,Hillary Clinton,0
Washoe,812800,President,Democratic,Hillary Clinton,0
Washoe,812900,President,Democratic,Hillary Clinton,0
Washoe,820000,President,Democratic,Hillary Clinton,3
Washoe,820100,President,Democratic,Hillary Clinton,1
Washoe,820200,President,Democratic,Hillary Clinton,5
Washoe,820300,President,Democratic,Hillary Clinton,3
Washoe,820400,President,Democratic,Hillary Clinton,0
Washoe,820500,President,Democratic,Hillary Clinton,3
Washoe,820600,President,Democratic,Hillary Clinton,1
Washoe,820700,President,Democratic,Hillary Clinton,1
Washoe,820800,President,Democratic,Hillary Clinton,1
Washoe,820900,President,Democratic,Hillary Clinton,3
Washoe,821000,President,Democratic,Hillary Clinton,1
Washoe,821100,President,Democratic,Hillary Clinton,1
Washoe,821200,President,Democratic,Hillary Clinton,0
Washoe,821300,President,Democratic,Hillary Clinton,0
Washoe,821400,President,Democratic,Hillary Clinton,1
Washoe,821500,President,Democratic,Hillary Clinton,1
Washoe,821600,President,Democratic,Hillary Clinton,1
Washoe,821700,President,Democratic,Hillary Clinton,3
Washoe,821800,President,Democratic,Hillary Clinton,0
Washoe,821900,President,Democratic,Hillary Clinton,1
Washoe,822000,President,Democratic,Hillary Clinton,2
Washoe,822100,President,Democratic,Hillary Clinton,2
